V,I
0.6248,1.7616e-009
0.6249,1.76501e-009
0.625,1.76842e-009
0.6251,1.77184e-009
0.6252,1.77526e-009
0.6253,1.7787e-009
0.6254,1.78214e-009
0.6255,1.78558e-009
0.6256,1.78904e-009
0.6257,1.7925e-009
0.6258,1.79596e-009
0.6259,1.79944e-009
0.626,1.80291e-009
0.6261,1.8064e-009
0.6262,1.80989e-009
0.6263,1.81339e-009
0.6264,1.8169e-009
0.6265,1.82041e-009
0.6266,1.82393e-009
0.6267,1.82746e-009
0.6268,1.831e-009
0.6269,1.83454e-009
0.627,1.83808e-009
0.6271,1.84164e-009
0.6272,1.8452e-009
0.6273,1.84877e-009
0.6274,1.85234e-009
0.6275,1.85592e-009
0.6276,1.85951e-009
0.6277,1.86311e-009
0.6278,1.86671e-009
0.6279,1.87032e-009
0.628,1.87394e-009
0.6281,1.87756e-009
0.6282,1.88119e-009
0.6283,1.88483e-009
0.6284,1.88848e-009
0.6285,1.89213e-009
0.6286,1.89579e-009
0.6287,1.89945e-009
0.6288,1.90313e-009
0.6289,1.90681e-009
0.629,1.91049e-009
0.6291,1.91419e-009
0.6292,1.91789e-009
0.6293,1.9216e-009
0.6294,1.92532e-009
0.6295,1.92904e-009
0.6296,1.93277e-009
0.6297,1.93651e-009
0.6298,1.94025e-009
0.6299,1.944e-009
0.63,1.94776e-009
0.6301,1.95153e-009
0.6302,1.9553e-009
0.6303,1.95909e-009
0.6304,1.96287e-009
0.6305,1.96667e-009
0.6306,1.97047e-009
0.6307,1.97428e-009
0.6308,1.9781e-009
0.6309,1.98193e-009
0.631,1.98576e-009
0.6311,1.9896e-009
0.6312,1.99345e-009
0.6313,1.9973e-009
0.6314,2.00116e-009
0.6315,2.00503e-009
0.6316,2.00891e-009
0.6317,2.0128e-009
0.6318,2.01669e-009
0.6319,2.02059e-009
0.632,2.0245e-009
0.6321,2.02841e-009
0.6322,2.03234e-009
0.6323,2.03627e-009
0.6324,2.0402e-009
0.6325,2.04415e-009
0.6326,2.0481e-009
0.6327,2.05206e-009
0.6328,2.05603e-009
0.6329,2.06001e-009
0.633,2.06399e-009
0.6331,2.06798e-009
0.6332,2.07198e-009
0.6333,2.07599e-009
0.6334,2.08e-009
0.6335,2.08403e-009
0.6336,2.08806e-009
0.6337,2.09209e-009
0.6338,2.09614e-009
0.6339,2.10019e-009
0.634,2.10426e-009
0.6341,2.10833e-009
0.6342,2.1124e-009
0.6343,2.11649e-009
0.6344,2.12058e-009
0.6345,2.12468e-009
0.6346,2.12879e-009
0.6347,2.13291e-009
0.6348,2.13703e-009
0.6349,2.14117e-009
0.635,2.14531e-009
0.6351,2.14945e-009
0.6352,2.15361e-009
0.6353,2.15778e-009
0.6354,2.16195e-009
0.6355,2.16613e-009
0.6356,2.17032e-009
0.6357,2.17452e-009
0.6358,2.17872e-009
0.6359,2.18294e-009
0.636,2.18716e-009
0.6361,2.19139e-009
0.6362,2.19563e-009
0.6363,2.19987e-009
0.6364,2.20413e-009
0.6365,2.20839e-009
0.6366,2.21266e-009
0.6367,2.21694e-009
0.6368,2.22123e-009
0.6369,2.22552e-009
0.637,2.22983e-009
0.6371,2.23414e-009
0.6372,2.23846e-009
0.6373,2.24279e-009
0.6374,2.24713e-009
0.6375,2.25147e-009
0.6376,2.25583e-009
0.6377,2.26019e-009
0.6378,2.26456e-009
0.6379,2.26894e-009
0.638,2.27333e-009
0.6381,2.27772e-009
0.6382,2.28213e-009
0.6383,2.28654e-009
0.6384,2.29096e-009
0.6385,2.2954e-009
0.6386,2.29983e-009
0.6387,2.30428e-009
0.6388,2.30874e-009
0.6389,2.3132e-009
0.639,2.31768e-009
0.6391,2.32216e-009
0.6392,2.32665e-009
0.6393,2.33115e-009
0.6394,2.33566e-009
0.6395,2.34018e-009
0.6396,2.3447e-009
0.6397,2.34924e-009
0.6398,2.35378e-009
0.6399,2.35833e-009
0.64,2.36289e-009
0.6401,2.36746e-009
0.6402,2.37204e-009
0.6403,2.37663e-009
0.6404,2.38123e-009
0.6405,2.38583e-009
0.6406,2.39045e-009
0.6407,2.39507e-009
0.6408,2.3997e-009
0.6409,2.40434e-009
0.641,2.40899e-009
0.6411,2.41365e-009
0.6412,2.41832e-009
0.6413,2.423e-009
0.6414,2.42768e-009
0.6415,2.43238e-009
0.6416,2.43708e-009
0.6417,2.44179e-009
0.6418,2.44652e-009
0.6419,2.45125e-009
0.642,2.45599e-009
0.6421,2.46074e-009
0.6422,2.4655e-009
0.6423,2.47027e-009
0.6424,2.47504e-009
0.6425,2.47983e-009
0.6426,2.48463e-009
0.6427,2.48943e-009
0.6428,2.49425e-009
0.6429,2.49907e-009
0.643,2.5039e-009
0.6431,2.50875e-009
0.6432,2.5136e-009
0.6433,2.51846e-009
0.6434,2.52333e-009
0.6435,2.52821e-009
0.6436,2.5331e-009
0.6437,2.538e-009
0.6438,2.54291e-009
0.6439,2.54783e-009
0.644,2.55276e-009
0.6441,2.55769e-009
0.6442,2.56264e-009
0.6443,2.5676e-009
0.6444,2.57256e-009
0.6445,2.57754e-009
0.6446,2.58252e-009
0.6447,2.58752e-009
0.6448,2.59252e-009
0.6449,2.59754e-009
0.645,2.60256e-009
0.6451,2.60759e-009
0.6452,2.61264e-009
0.6453,2.61769e-009
0.6454,2.62275e-009
0.6455,2.62782e-009
0.6456,2.63291e-009
0.6457,2.638e-009
0.6458,2.6431e-009
0.6459,2.64821e-009
0.646,2.65334e-009
0.6461,2.65847e-009
0.6462,2.66361e-009
0.6463,2.66876e-009
0.6464,2.67392e-009
0.6465,2.67909e-009
0.6466,2.68428e-009
0.6467,2.68947e-009
0.6468,2.69467e-009
0.6469,2.69988e-009
0.647,2.7051e-009
0.6471,2.71033e-009
0.6472,2.71558e-009
0.6473,2.72083e-009
0.6474,2.72609e-009
0.6475,2.73136e-009
0.6476,2.73665e-009
0.6477,2.74194e-009
0.6478,2.74724e-009
0.6479,2.75256e-009
0.648,2.75788e-009
0.6481,2.76321e-009
0.6482,2.76856e-009
0.6483,2.77391e-009
0.6484,2.77928e-009
0.6485,2.78465e-009
0.6486,2.79004e-009
0.6487,2.79544e-009
0.6488,2.80084e-009
0.6489,2.80626e-009
0.649,2.81169e-009
0.6491,2.81712e-009
0.6492,2.82257e-009
0.6493,2.82803e-009
0.6494,2.8335e-009
0.6495,2.83898e-009
0.6496,2.84447e-009
0.6497,2.84998e-009
0.6498,2.85549e-009
0.6499,2.86101e-009
0.65,2.86654e-009
0.6501,2.87209e-009
0.6502,2.87764e-009
0.6503,2.88321e-009
0.6504,2.88879e-009
0.6505,2.89437e-009
0.6506,2.89997e-009
0.6507,2.90558e-009
0.6508,2.9112e-009
0.6509,2.91683e-009
0.651,2.92247e-009
0.6511,2.92812e-009
0.6512,2.93379e-009
0.6513,2.93946e-009
0.6514,2.94515e-009
0.6515,2.95084e-009
0.6516,2.95655e-009
0.6517,2.96227e-009
0.6518,2.968e-009
0.6519,2.97374e-009
0.652,2.97949e-009
0.6521,2.98525e-009
0.6522,2.99103e-009
0.6523,2.99681e-009
0.6524,3.00261e-009
0.6525,3.00842e-009
0.6526,3.01424e-009
0.6527,3.02007e-009
0.6528,3.02591e-009
0.6529,3.03176e-009
0.653,3.03762e-009
0.6531,3.0435e-009
0.6532,3.04939e-009
0.6533,3.05528e-009
0.6534,3.06119e-009
0.6535,3.06711e-009
0.6536,3.07305e-009
0.6537,3.07899e-009
0.6538,3.08495e-009
0.6539,3.09091e-009
0.654,3.09689e-009
0.6541,3.10288e-009
0.6542,3.10888e-009
0.6543,3.1149e-009
0.6544,3.12092e-009
0.6545,3.12696e-009
0.6546,3.13301e-009
0.6547,3.13907e-009
0.6548,3.14514e-009
0.6549,3.15122e-009
0.655,3.15731e-009
0.6551,3.16342e-009
0.6552,3.16954e-009
0.6553,3.17567e-009
0.6554,3.18181e-009
0.6555,3.18797e-009
0.6556,3.19413e-009
0.6557,3.20031e-009
0.6558,3.2065e-009
0.6559,3.2127e-009
0.656,3.21892e-009
0.6561,3.22514e-009
0.6562,3.23138e-009
0.6563,3.23763e-009
0.6564,3.24389e-009
0.6565,3.25017e-009
0.6566,3.25646e-009
0.6567,3.26275e-009
0.6568,3.26906e-009
0.6569,3.27539e-009
0.657,3.28172e-009
0.6571,3.28807e-009
0.6572,3.29443e-009
0.6573,3.3008e-009
0.6574,3.30719e-009
0.6575,3.31358e-009
0.6576,3.31999e-009
0.6577,3.32641e-009
0.6578,3.33285e-009
0.6579,3.3393e-009
0.658,3.34575e-009
0.6581,3.35223e-009
0.6582,3.35871e-009
0.6583,3.36521e-009
0.6584,3.37172e-009
0.6585,3.37824e-009
0.6586,3.38477e-009
0.6587,3.39132e-009
0.6588,3.39788e-009
0.6589,3.40445e-009
0.659,3.41104e-009
0.6591,3.41763e-009
0.6592,3.42424e-009
0.6593,3.43087e-009
0.6594,3.4375e-009
0.6595,3.44415e-009
0.6596,3.45081e-009
0.6597,3.45749e-009
0.6598,3.46418e-009
0.6599,3.47088e-009
0.66,3.47759e-009
0.6601,3.48432e-009
0.6602,3.49106e-009
0.6603,3.49781e-009
0.6604,3.50457e-009
0.6605,3.51135e-009
0.6606,3.51814e-009
0.6607,3.52495e-009
0.6608,3.53177e-009
0.6609,3.5386e-009
0.661,3.54544e-009
0.6611,3.5523e-009
0.6612,3.55917e-009
0.6613,3.56606e-009
0.6614,3.57295e-009
0.6615,3.57987e-009
0.6616,3.58679e-009
0.6617,3.59373e-009
0.6618,3.60068e-009
0.6619,3.60764e-009
0.662,3.61462e-009
0.6621,3.62161e-009
0.6622,3.62862e-009
0.6623,3.63564e-009
0.6624,3.64267e-009
0.6625,3.64972e-009
0.6626,3.65677e-009
0.6627,3.66385e-009
0.6628,3.67093e-009
0.6629,3.67804e-009
0.663,3.68515e-009
0.6631,3.69228e-009
0.6632,3.69942e-009
0.6633,3.70658e-009
0.6634,3.71374e-009
0.6635,3.72093e-009
0.6636,3.72813e-009
0.6637,3.73534e-009
0.6638,3.74256e-009
0.6639,3.7498e-009
0.664,3.75705e-009
0.6641,3.76432e-009
0.6642,3.7716e-009
0.6643,3.7789e-009
0.6644,3.78621e-009
0.6645,3.79353e-009
0.6646,3.80087e-009
0.6647,3.80822e-009
0.6648,3.81559e-009
0.6649,3.82297e-009
0.665,3.83036e-009
0.6651,3.83777e-009
0.6652,3.84519e-009
0.6653,3.85263e-009
0.6654,3.86008e-009
0.6655,3.86755e-009
0.6656,3.87503e-009
0.6657,3.88253e-009
0.6658,3.89004e-009
0.6659,3.89756e-009
0.666,3.9051e-009
0.6661,3.91265e-009
0.6662,3.92022e-009
0.6663,3.92781e-009
0.6664,3.9354e-009
0.6665,3.94302e-009
0.6666,3.95064e-009
0.6667,3.95828e-009
0.6668,3.96594e-009
0.6669,3.97361e-009
0.667,3.9813e-009
0.6671,3.989e-009
0.6672,3.99671e-009
0.6673,4.00445e-009
0.6674,4.01219e-009
0.6675,4.01995e-009
0.6676,4.02773e-009
0.6677,4.03552e-009
0.6678,4.04332e-009
0.6679,4.05115e-009
0.668,4.05898e-009
0.6681,4.06683e-009
0.6682,4.0747e-009
0.6683,4.08258e-009
0.6684,4.09048e-009
0.6685,4.09839e-009
0.6686,4.10632e-009
0.6687,4.11426e-009
0.6688,4.12222e-009
0.6689,4.13019e-009
0.669,4.13818e-009
0.6691,4.14619e-009
0.6692,4.15421e-009
0.6693,4.16224e-009
0.6694,4.17029e-009
0.6695,4.17836e-009
0.6696,4.18644e-009
0.6697,4.19454e-009
0.6698,4.20265e-009
0.6699,4.21078e-009
0.67,4.21893e-009
0.6701,4.22709e-009
0.6702,4.23527e-009
0.6703,4.24346e-009
0.6704,4.25167e-009
0.6705,4.25989e-009
0.6706,4.26813e-009
0.6707,4.27639e-009
0.6708,4.28466e-009
0.6709,4.29295e-009
0.671,4.30125e-009
0.6711,4.30957e-009
0.6712,4.31791e-009
0.6713,4.32626e-009
0.6714,4.33463e-009
0.6715,4.34301e-009
0.6716,4.35141e-009
0.6717,4.35983e-009
0.6718,4.36826e-009
0.6719,4.37671e-009
0.672,4.38518e-009
0.6721,4.39366e-009
0.6722,4.40216e-009
0.6723,4.41068e-009
0.6724,4.41921e-009
0.6725,4.42776e-009
0.6726,4.43632e-009
0.6727,4.4449e-009
0.6728,4.4535e-009
0.6729,4.46211e-009
0.673,4.47075e-009
0.6731,4.47939e-009
0.6732,4.48806e-009
0.6733,4.49674e-009
0.6734,4.50544e-009
0.6735,4.51415e-009
0.6736,4.52288e-009
0.6737,4.53163e-009
0.6738,4.5404e-009
0.6739,4.54918e-009
0.674,4.55798e-009
0.6741,4.5668e-009
0.6742,4.57563e-009
0.6743,4.58448e-009
0.6744,4.59335e-009
0.6745,4.60224e-009
0.6746,4.61114e-009
0.6747,4.62006e-009
0.6748,4.629e-009
0.6749,4.63795e-009
0.675,4.64692e-009
0.6751,4.65591e-009
0.6752,4.66492e-009
0.6753,4.67394e-009
0.6754,4.68298e-009
0.6755,4.69204e-009
0.6756,4.70111e-009
0.6757,4.71021e-009
0.6758,4.71932e-009
0.6759,4.72845e-009
0.676,4.7376e-009
0.6761,4.74676e-009
0.6762,4.75594e-009
0.6763,4.76514e-009
0.6764,4.77436e-009
0.6765,4.78359e-009
0.6766,4.79285e-009
0.6767,4.80212e-009
0.6768,4.81141e-009
0.6769,4.82071e-009
0.677,4.83004e-009
0.6771,4.83938e-009
0.6772,4.84874e-009
0.6773,4.85812e-009
0.6774,4.86752e-009
0.6775,4.87694e-009
0.6776,4.88637e-009
0.6777,4.89582e-009
0.6778,4.90529e-009
0.6779,4.91478e-009
0.678,4.92429e-009
0.6781,4.93381e-009
0.6782,4.94336e-009
0.6783,4.95292e-009
0.6784,4.9625e-009
0.6785,4.9721e-009
0.6786,4.98172e-009
0.6787,4.99135e-009
0.6788,5.00101e-009
0.6789,5.01068e-009
0.679,5.02038e-009
0.6791,5.03009e-009
0.6792,5.03982e-009
0.6793,5.04957e-009
0.6794,5.05933e-009
0.6795,5.06912e-009
0.6796,5.07893e-009
0.6797,5.08875e-009
0.6798,5.09859e-009
0.6799,5.10846e-009
0.68,5.11834e-009
0.6801,5.12824e-009
0.6802,5.13816e-009
0.6803,5.1481e-009
0.6804,5.15806e-009
0.6805,5.16803e-009
0.6806,5.17803e-009
0.6807,5.18805e-009
0.6808,5.19808e-009
0.6809,5.20814e-009
0.681,5.21821e-009
0.6811,5.22831e-009
0.6812,5.23842e-009
0.6813,5.24855e-009
0.6814,5.25871e-009
0.6815,5.26888e-009
0.6816,5.27907e-009
0.6817,5.28928e-009
0.6818,5.29951e-009
0.6819,5.30977e-009
0.682,5.32004e-009
0.6821,5.33033e-009
0.6822,5.34064e-009
0.6823,5.35097e-009
0.6824,5.36132e-009
0.6825,5.37169e-009
0.6826,5.38208e-009
0.6827,5.39249e-009
0.6828,5.40292e-009
0.6829,5.41338e-009
0.683,5.42385e-009
0.6831,5.43434e-009
0.6832,5.44485e-009
0.6833,5.45538e-009
0.6834,5.46594e-009
0.6835,5.47651e-009
0.6836,5.4871e-009
0.6837,5.49772e-009
0.6838,5.50835e-009
0.6839,5.51901e-009
0.684,5.52968e-009
0.6841,5.54038e-009
0.6842,5.5511e-009
0.6843,5.56184e-009
0.6844,5.57259e-009
0.6845,5.58337e-009
0.6846,5.59417e-009
0.6847,5.605e-009
0.6848,5.61584e-009
0.6849,5.6267e-009
0.685,5.63759e-009
0.6851,5.64849e-009
0.6852,5.65942e-009
0.6853,5.67037e-009
0.6854,5.68133e-009
0.6855,5.69232e-009
0.6856,5.70334e-009
0.6857,5.71437e-009
0.6858,5.72542e-009
0.6859,5.7365e-009
0.686,5.74759e-009
0.6861,5.75871e-009
0.6862,5.76985e-009
0.6863,5.78101e-009
0.6864,5.7922e-009
0.6865,5.8034e-009
0.6866,5.81463e-009
0.6867,5.82587e-009
0.6868,5.83714e-009
0.6869,5.84844e-009
0.687,5.85975e-009
0.6871,5.87108e-009
0.6872,5.88244e-009
0.6873,5.89382e-009
0.6874,5.90522e-009
0.6875,5.91664e-009
0.6876,5.92809e-009
0.6877,5.93956e-009
0.6878,5.95105e-009
0.6879,5.96256e-009
0.688,5.97409e-009
0.6881,5.98565e-009
0.6882,5.99723e-009
0.6883,6.00883e-009
0.6884,6.02045e-009
0.6885,6.0321e-009
0.6886,6.04377e-009
0.6887,6.05546e-009
0.6888,6.06717e-009
0.6889,6.07891e-009
0.689,6.09067e-009
0.6891,6.10245e-009
0.6892,6.11425e-009
0.6893,6.12608e-009
0.6894,6.13793e-009
0.6895,6.1498e-009
0.6896,6.1617e-009
0.6897,6.17362e-009
0.6898,6.18556e-009
0.6899,6.19753e-009
0.69,6.20952e-009
0.6901,6.22153e-009
0.6902,6.23356e-009
0.6903,6.24562e-009
0.6904,6.2577e-009
0.6905,6.26981e-009
0.6906,6.28194e-009
0.6907,6.29409e-009
0.6908,6.30626e-009
0.6909,6.31846e-009
0.691,6.33069e-009
0.6911,6.34293e-009
0.6912,6.3552e-009
0.6913,6.3675e-009
0.6914,6.37981e-009
0.6915,6.39215e-009
0.6916,6.40452e-009
0.6917,6.41691e-009
0.6918,6.42932e-009
0.6919,6.44176e-009
0.692,6.45422e-009
0.6921,6.4667e-009
0.6922,6.47921e-009
0.6923,6.49175e-009
0.6924,6.50431e-009
0.6925,6.51689e-009
0.6926,6.52949e-009
0.6927,6.54212e-009
0.6928,6.55478e-009
0.6929,6.56746e-009
0.693,6.58016e-009
0.6931,6.59289e-009
0.6932,6.60565e-009
0.6933,6.61842e-009
0.6934,6.63123e-009
0.6935,6.64405e-009
0.6936,6.65691e-009
0.6937,6.66978e-009
0.6938,6.68269e-009
0.6939,6.69561e-009
0.694,6.70857e-009
0.6941,6.72154e-009
0.6942,6.73455e-009
0.6943,6.74757e-009
0.6944,6.76063e-009
0.6945,6.7737e-009
0.6946,6.78681e-009
0.6947,6.79994e-009
0.6948,6.81309e-009
0.6949,6.82627e-009
0.695,6.83947e-009
0.6951,6.8527e-009
0.6952,6.86596e-009
0.6953,6.87924e-009
0.6954,6.89255e-009
0.6955,6.90588e-009
0.6956,6.91924e-009
0.6957,6.93263e-009
0.6958,6.94604e-009
0.6959,6.95947e-009
0.696,6.97294e-009
0.6961,6.98642e-009
0.6962,6.99994e-009
0.6963,7.01348e-009
0.6964,7.02705e-009
0.6965,7.04064e-009
0.6966,7.05426e-009
0.6967,7.06791e-009
0.6968,7.08158e-009
0.6969,7.09528e-009
0.697,7.109e-009
0.6971,7.12275e-009
0.6972,7.13653e-009
0.6973,7.15034e-009
0.6974,7.16417e-009
0.6975,7.17803e-009
0.6976,7.19191e-009
0.6977,7.20583e-009
0.6978,7.21977e-009
0.6979,7.23373e-009
0.698,7.24772e-009
0.6981,7.26175e-009
0.6982,7.27579e-009
0.6983,7.28987e-009
0.6984,7.30397e-009
0.6985,7.3181e-009
0.6986,7.33225e-009
0.6987,7.34644e-009
0.6988,7.36065e-009
0.6989,7.37489e-009
0.699,7.38915e-009
0.6991,7.40345e-009
0.6992,7.41777e-009
0.6993,7.43212e-009
0.6994,7.4465e-009
0.6995,7.4609e-009
0.6996,7.47533e-009
0.6997,7.48979e-009
0.6998,7.50428e-009
0.6999,7.5188e-009
0.7,7.53334e-009
0.7001,7.54792e-009
0.7002,7.56252e-009
0.7003,7.57715e-009
0.7004,7.5918e-009
0.7005,7.60649e-009
0.7006,7.6212e-009
0.7007,7.63595e-009
0.7008,7.65072e-009
0.7009,7.66552e-009
0.701,7.68035e-009
0.7011,7.6952e-009
0.7012,7.71009e-009
0.7013,7.725e-009
0.7014,7.73995e-009
0.7015,7.75492e-009
0.7016,7.76992e-009
0.7017,7.78495e-009
0.7018,7.80001e-009
0.7019,7.8151e-009
0.702,7.83022e-009
0.7021,7.84536e-009
0.7022,7.86054e-009
0.7023,7.87575e-009
0.7024,7.89098e-009
0.7025,7.90624e-009
0.7026,7.92154e-009
0.7027,7.93686e-009
0.7028,7.95222e-009
0.7029,7.9676e-009
0.703,7.98301e-009
0.7031,7.99845e-009
0.7032,8.01393e-009
0.7033,8.02943e-009
0.7034,8.04496e-009
0.7035,8.06052e-009
0.7036,8.07612e-009
0.7037,8.09174e-009
0.7038,8.10739e-009
0.7039,8.12308e-009
0.704,8.13879e-009
0.7041,8.15453e-009
0.7042,8.17031e-009
0.7043,8.18611e-009
0.7044,8.20195e-009
0.7045,8.21781e-009
0.7046,8.23371e-009
0.7047,8.24964e-009
0.7048,8.2656e-009
0.7049,8.28159e-009
0.705,8.29761e-009
0.7051,8.31366e-009
0.7052,8.32974e-009
0.7053,8.34585e-009
0.7054,8.362e-009
0.7055,8.37817e-009
0.7056,8.39438e-009
0.7057,8.41062e-009
0.7058,8.42689e-009
0.7059,8.44319e-009
0.706,8.45952e-009
0.7061,8.47589e-009
0.7062,8.49228e-009
0.7063,8.50871e-009
0.7064,8.52517e-009
0.7065,8.54166e-009
0.7066,8.55818e-009
0.7067,8.57474e-009
0.7068,8.59133e-009
0.7069,8.60795e-009
0.707,8.6246e-009
0.7071,8.64128e-009
0.7072,8.658e-009
0.7073,8.67475e-009
0.7074,8.69153e-009
